code,item,price
1,Ramen - soy sauce based,120
2,Miso Ramen,140
3,Shio Ramen - salt based,130
4,Pork ramen,160
5,Spicy Ramen,140
6,Wakame Ramen,130
7,Miso corn butter,200
8,Cantonese Ramen,200
9,Yakisoba - Japanese style fried noodle,170
10,Cold Ramen 'Hiyashi Chuka',190
11,Chicken Curry,160
12,Karaage Curry - fried chicken,180
13,Shrimp Fried Curry,180
14,Oyako don - chicken wrapped with egg,150
15,Tanin don - pork wrapped with egg,150
16,Karaage don fried chicken,150
17,Yakiniku don fried beef with special sauce,190
18,Shogayaki don ginger pork,190
19,Katsu don breaded pork with egg,210
20,Pork rice topping,90
21,Spicy pork rice topping,110
22,Chahan - Japanese fried rice,160
23,California mango rolls,160
24,Salad maki,150
25,Karaage rolls - fried chicken,140
26,Onion salmon rolls,170
27,Tekka maki - tuna,150
28,Salmon maki,150
29,Gyoza - Japanese dumpling 6 pcs,90
30,Karaage - fried chicken 3 pcs,90
31,Shrimp Fries with special sauce 4 pcs,140
32,Plain Japanese rice,50
